Data,Cucina,Soggiorno,Camera,Cameretta,bagno,Stagione
10/18/2018,0,0,0,0,0,1
11/01/2018,0,0,1,0,4,1
11/18/2018,1,6,8,1,54,1
12/01/2018,46,49,54,11,109,1
12/18/2018,92,104,110,34,173,1
01/01/2019,134,164,170,59,255,1
01/18/2019,169,221,237,73,348,1
02/01/2019,206,278,302,95,432,1
02/18/2019,239,331,359,107,524,1
03/01/2019,252,356,386,110,570,1
03/18/2019,276,389,425,114,642,1
05/11/2019,308,431,454,115,752,1
05/18/2019,308,431,454,115,752,1
10/15/2019,308,431,454,115,752,1
10/16/2019,0,0,0,0,0,2
11/02/2019,1,36,20,0,47,2
11/19/2019,22,143,89,0,139,2
12/02/2019,47,221,155,16,216,2
12/28/2019,127,453,385,63,412,2
01/05/2020,176,552,475,90,480,2
02/01/2020,292,864,716,233,713,2
02/15/2020,326,974,812,307,812,2
03/01/2020,351,1054,868,351,898,2
03/15/2020,375,1129,921,393,979,2
04/04/2020,410,1240,1000,455,1099,2
04/15/2020,413,1248,1006,474,1142,2
04/16/2020,0,0,0,0,0,3
10/04/2020,7,15,0,0,4,3
10/18/2020,13,41,14,17,17,3
11/01/2020,23,74,34,22,45,3
11/15/2020,33,114,63,30,75,3
11/29/2020,69,236,158,74,138,3
12/13/2020,132,414,296,138,219,3
12/27/2020,176,553,393,187,288,3
01/10/2021,240,744,540,256,380,3
01/24/2021,316,948,698,335,464,3
02/07/2021,378,1096,820,412,537,3
02/21/2021,431,1221,919,475,607,3
03/07/2021,467,1293,976,498,659,3
03/21/2021,508,1381,1049,524,718,3
04/04/2021,529,1423,1086,536,756,3
04/18/2021,558,1494,1139,551,802,3
05/02/2021,565,1520,1155,556,827,3
05/16/2021,565,1521,1157,556,832,3
05/30/2021,565,1521,1157,556,832,3
09/19/2021,0,0,0,0,0,4
10/03/2021,4,0,0,0,0,4
10/17/2021,9,14,16,3,13,4
10/31/2021,21,44,39,12,50,4
11/14/2021,46,103,79,22,99,4
11/28/2021,74,176,124,42,154,4
12/12/2021,134,336,266,94,242,4
12/26/2021,190,504,395,199,329,4
01/09/2022,248,667,505,333,411,4
01/23/2022,320,855,631,409,504,4
02/06/2022,388,1018,732,455,581,4
02/20/2022,437,1149,824,505,641,4
03/06/2022,476,1236,903,535,700,4
03/20/2022,506,1331,951,564,755,4
04/03/2022,532,1403,978,576,804,4
04/17/2022,536,1427,981,579,827,4
05/01/2022,536,1427,981,579,827,4
08/26/2022,543,1436,981,579,828,4
08/27/2022,0,0,0,0,0,5
10/11/2022,2,9,0,0,0,5
11/04/2022,2,9,0,0,0,5
11/13/2022,2,9,0,0,21,5
11/27/2022,4,73,1,0,84,5
12/11/2022,31,210,3,1,171,5
12/25/2022,82,372,25,20,260,5
01/08/2023,114,467,42,53,333,5
01/22/2023,163,621,85,67,418,5
02/05/2023,224,819,129,117,515,5
02/19/2023,279,983,167,148,596,5
03/05/2023,315,1070,183,171,672,5
03/19/2023,334,1113,183,187,721,5
04/02/2023,347,1142,183,197,759,5
04/16/2023,364,1180,183,211,806,5
08/31/2023,382,1219,183,211,806,5
09/01/2023,0,0,0,0,0,6
09/19/2023,3,6,0,0,0,6
10/22/2023,7,15,0,0,0,6
11/05/2023,19,49,0,2,37,6
11/19/2023,49,139,0,3,105,6
12/03/2023,95,260,8,4,194,6
12/17/2023,153,407,22,14,289,6
12/31/2023,211,555,36,25,384,6
01/14/2024,274,717,49,35,487,6
01/28/2024,341,905,199,102,590,6
02/11/2024,382,1039,278,129,671,6
02/25/2024,405,1136,348,140,742,6
03/10/2024,428,1247,356,150,834,6
03/24/2024,435,1302,359,153,891,6
04/07/2024,455,1363,361,156,954,6
04/21/2024,459,1371,361,156,962,6
05/05/2024,498,1408,365,164,1006,6
05/28/2024,498,1408,957,164,1006,6
10/09/2024,0,0,0,0,0,7
10/13/2024,0,0,0,0,0,7
10/27/2024,0,0,0,0,0,7
11/10/2024,6,32,0,7,19,7
11/12/2024,8,46,0,12,28,7
11/24/2024,31,156,10,56,103,7
12/08/2024,59,300,29,118,207,7
12/22/2024,92,424,53,189,300,7
01/04/2025,136,547,84,266,398,7
01/19/2025,180,708,118,346,499,7
02/02/2025,209,829,131,396,594,7
02/16/2025,234,926,145,425,677,7
03/02/2025,258,1028,163,474,768,7
03/16/2025,267,1079,164,493,836,7
03/30/2025,270,1126,166,523,902,7
04/13/2025,270,1136,166,526,939,7
04/27/2025,270,1140,166,527,954,
04/28/2025,0,0,0,0,0,8
10/04/2025,9,17,0,0,0,8
10/18/2025,9,17,0,0,0,8
11/02/2025,9,17,0,0,0,8
11/16/2025,9,17,2,1,34,8
11/30/2025,43,128,57,31,94,8
12/14/2025,73,209,101,86,154,8